,Expected Number of Deaths,Expected Number of Deaths,Expected Number of Deaths,Expected Number of Deaths,Expected Number of Deaths,Expected Annual Damage,Expected Annual Damage,Expected Annual Damage,Expected Annual Damage,Expected Annual Damage,Total Costs,Cost plus Damage,Cost plus Damage,Cost plus Damage,Cost plus Damage,Cost plus Damage
,mean,min,max,q05,q95,mean,min,max,q05,q95,mean,mean,min,max,q05,q95
policy,,,,,,,,,,,,,,,,
Policy_Dike_0dm_RfR_20_EWS_0d,1.5976423987915804,0.08677090992504098,5.25555173737096,0.18226553645240828,3.7273675310716885,1662137772.4442694,62260459.721512064,5938355586.733856,176568324.92175975,3514422035.7508836,1499812.16,1663637584.6042695,62260459.721512064,5938355586.733856,176568324.92175975,3514422035.7508836
Policy_Dike_0dm_RfR_20_EWS_4d,0.19158822496234929,0.010412509191004919,0.6306662084845153,0.02188295939333712,0.4470906716756464,1662137772.4442694,62260459.721512064,5938355586.733856,176568324.92175975,3514422035.7508836,54130.07002456084,1662191902.514294,62263636.179514594,5938496998.314447,176580358.99832428,3514505851.907196
Policy_Dike_0dm_RfR_21_EWS_0d,1.2821931662733954,0.04367441977778304,4.871244062594825,0.12450731163718719,3.0758951309397,1482571741.3891947,35071322.11220785,5860267184.417715,126780817.61388873,3299664338.5134625,30700000.0,1513271741.3891947,65771322.11220785,5890967184.417715,157480817.6138887,3330364338.5134625
Policy_Dike_0dm_RfR_21_EWS_4d,0.15386317995280746,0.005240930373333965,0.5845492875113791,0.014940877396462464,0.369107415712764,1482571741.3891947,35071322.11220785,5860267184.417715,126780817.61388873,3299664338.5134625,30744248.58977565,1513315989.9789705,65773255.72917323,5891107355.922888,157489969.94861183,3330455383.3696265
Policy_Dike_10dm_RfR_20_EWS_0d,0.9304126158824607,0.014178599604943555,2.496927221718596,0.06982253436068377,1.8877608007520437,1292627060.8381727,20812400.279497925,4049671251.3539524,93751745.10950638,3033258930.468706,44215020.0,1336842080.8381727,65027420.27949792,4093886271.3539524,137966765.10950637,3077473950.468706
Policy_Dike_10dm_RfR_20_EWS_4d,0.11164951390589528,0.0017014319525932263,0.2996312666062315,0.00837870412328205,0.2265312960902453,1292627060.8381727,20812400.279497925,4049671251.3539524,93751745.10950638,3033258930.468706,44248243.98757748,1336875304.82575,65028625.26877271,4093977034.028837,137974930.60602927,3077507668.186759
Policy_Dike_10dm_RfR_21_EWS_0d,0.9053742944334214,0.01400012483029983,2.488842691223354,0.06353862313396487,1.8620627833266625,1267170597.110142,20851872.846221596,3946353075.2420435,89265756.38128358,3001583658.534412,74915020.0,1342085617.110142,95766892.8462216,4021268095.2420435,164180776.38128358,3076498678.534412
Policy_Dike_10dm_RfR_21_EWS_4d,0.10864491533201057,0.0016800149796359792,0.2986611229468025,0.007624634776075785,0.2234475339991994,1267170597.110142,20851872.846221596,3946353075.2420435,89265756.38128358,3001583658.534412,74946595.41462937,1342117192.5247715,95768098.42075486,4021352874.788458,164188173.2625324,3076535557.9736404
