,epsilon_progress,nfe
0,0,0
1,12,100
2,22,1195
3,31,2288
4,39,3381
5,43,4448
6,46,5479
7,47,6544
8,47,7614
9,47,8656
10,47,9725
11,47,10798
12,47,11814
13,47,12882
14,47,13937
15,47,14987
16,47,16062
17,47,17096
18,47,18150
19,47,19171
